Locality,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Latitude,Longitude,About,Type,Facilities,Vote_Count,Known_For,Name,Contact,Price_for_2,Cuisine,Rating,Chain_Name
" Two Horizon Center, Golf Course Road, Gurgaon",803.0,4.4,217.0,https://www.zomato.com/ncr/comorin-golf-course-road,"101, 1st Floor, Plaza Level, Two Horizon Center, Golf Course Road, Gurgaon",28.45154524,77.0971011,"Comorin offers a delightful North Indian dining experience with butter chicken, paneer dishes, and traditional cooking methods.",Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible, Family Dining]",,"Champaran Style Mutton, Gunpowder Idli, Coktails, Sev Puri, Haleem, Chocolate Dessert | Bar Games, Vintage Decor, Soft Music, Fancy Crowd, Great Recommendations, Courteous Staff, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible, Family Dining",Comorin,9.11245E+11,2500.0,"North Indian, Desserts, Beverages",4.8,Comorin
" Cyber Hub, DLF Cyber City, Gurgaon",1381.0,4.0,75.0,https://www.zomato.com/ncr/vietnom-dlf-cyber-city,"17-18, DLF Phase 2, DLF Cyber Hub, Near DLF Cyber City, Gurgaon",28.49569519,77.08890092,"Viet:Nom is a Vietnamese restaurant in  Cyber Hub, DLF Cyber City, Gurgaon known for its quality food, good service, and welcoming atmosphere.",Cafe,"[Air Conditioning, WiFi, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Outdoor Seating, Quick Service, Valet Available, Amex Accepted, Wheelchair Accessible, Full Bar Available, Serves Alcohol]",,"Good Food and Service, Air Conditioning, WiFi, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Outdoor Seating, Quick Service, Valet Available, Amex Accepted, Wheelchair Accessible, Full Bar Available, Serves Alcohol",Viet:Nom,9.18512E+11,2000.0,"Vietnamese, Beverages",4.8,Viet:Nom
" Vijay Nagar, New Delhi",5228.0,4.1,2037.0,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi,"G 14, Hudson Lane, Vijay Nagar, New Delhi",28.69448281,77.2042758,"Cafeteria & Co. is a cozy cafe offering great coffee, light bites, and a relaxed atmosphere for casual meetings.",Cafe,"[Air Conditioning, Takeaway Available, Credit Card Accepted, Family Dining, Indoor Seating]",,"Peri Peri Chicken Skewer, Tropical Heaven Sundae, Chicken Cannelloni, Banana Nutella Crepe, Chipotle Pizza, Blueberry Ice Cream | Highly Recommended, Amazing Atmosphere, Ambience is very Nice, Classy Place, Affordable, Cordial Staff",Cafeteria & Co.,9.17043E+11,1300.0,"Cafe, Continental, Italian, Fast Food, Oriental, Beverages",4.8,Cafeteria & Co.
" Chanakyapuri, New Delhi",2038.0,4.3,172.0,https://www.zomato.com/ncr/sana-di-ge-chanakyapuri-new-delhi,"22/48, Ground Floor, First Floor And Second Floor, Commercial Complex, Malcha Marg, Chanakayapuri, New Delhi",28.60191756,77.18709189,"Sana-Di-Ge in Chanakyapuri, New Delhi offers a culinary journey through the flavors of Mangalorean, Goan, South Indian, North Indian, and Kerala cuisines. Specializing in seafood dishes, this restaurant stands out for its authentic coastal dishes made with fresh, high-quality ingredients. With a menu that showcases the diverse and vibrant flavors of South India, Sana-Di-Ge is a must-visit destination for those craving a taste of the coastal regions in the",Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible]",,"Interiors and the outdoor seating , along with Seafood and authentic South Indian delicacies, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible",Sana-Di-Ge,9.11141E+11,2200.0,"Mangalorean, Seafood, Goan, South Indian, North Indian, Kerala",4.8,Sana-Di-Ge
" Select Citywalk Mall, Saket, New Delhi",4077.0,4.3,125.0,https://www.zomato.com/ncr/pa-pa-ya-saket-new-delhi,"A-3, Select Citywalk, District Centre, Saket, New Delhi",28.52842842,77.21840534,"Nestled in the bustling Select Citywalk Mall in Saket, New Delhi, Pa Pa Ya offers a unique dining experience with its diverse Asian fusion cuisine. From Chinese dim sums to Japanese sushi and Malaysian curries, the menu is a delightful blend of flavors and textures. Don't miss out on their specialty momos and refreshing beverages that perfectly complement the bold and innovative dishes.",Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible]",,"Good Food and Service, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible",Pa Pa Ya,9.188E+11,2500.0,"Asian, Chinese, Thai, Japanese, Sushi, Malaysian, Momos, Beverages",4.8,Pa Pa Ya
" Cyber Hub, DLF Cyber City, Gurgaon",1742.0,4.2,643.0,https://www.zomato.com/ncr/yum-yum-cha-dlf-cyber-city,"2E, Ground Floor, Tower-A, Building 10, DLF Cyber City, Gurgaon",28.4950508,77.0876302,"Yum Yum Cha is a vibrant and modern Asian eatery located in the bustling Cyber Hub of Gurgaon. Specializing in Japanese cuisine and sushi, this restaurant offers an extensive menu of delicious rolls, along with a variety of tempting desserts and refreshing beverages. With its chic ambiance and flavorful dishes, Yum Yum Cha is the perfect spot for a memorable dining experience in the heart of DLF Cyber City.",5 Star/Luxury,"[Air Conditioning, WiFi, Serves Alcohol, Parking Available, Credit Card Accepted, Serves Wine, Full Bar Available]",,"Spicy Basil Noodle, Takoyaki, Crispy Corn Cakes, Chilli Bowl, Sashimi Platter, Mochi Ice Cream | Gastronomical Experience, Happy Place, Themed Decor, Comfortable Seating, Decoration, Fancy Crowd",Yum Yum Cha,9.1981E+11,1800.0,"Asian, Japanese, Sushi, Desserts, Beverages, Rolls",4.8,Yum Yum Cha
" Hauz Khas Village, New Delhi",1472.0,4.3,2115.0,https://www.zomato.com/ncr/coast-cafe-hauz-khas-village-new-delhi,"H-2, 2nd & 3rd Floor, Hauz Khas Village, New Delhi",28.55481538,77.19520323,"Coast Cafe in Hauz Khas Village brings a taste of Kerala to the heart of New Delhi with its authentic coastal cuisine. From traditional Kerala dishes like appam and stew to fusion creations with a continental twist, this restaurant offers a unique dining experience that transports diners to the shores of the Arabian Sea. Don't miss their signature seafood delicacies and refreshing coconut-infused cocktails that perfectly complement the vibrant flavors of the Kerala coast.",Cafe,"[Air Conditioning, WiFi, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Outdoor Seating, Quick Service, Parking Available]",,"Garam Curry Chicken, Aubergine Curry, Masala Fish Curry, Kerala Fish Fry, Kokum Curry, Avial | Balcony Seating, Classy Decor, Perfect Setting, Calm, Beautiful Cafe, Perfect Ambience",Coast Cafe,9.11142E+11,1400.0,"Continental, Kerala",4.8,Coast Cafe
" Ambience Mall, DLF Phase 3, Gurgaon",3077.0,4.3,1831.0,https://www.zomato.com/ncr/pizzaexpress-dlf-phase-3,"T-317, 3rd Floor, Ambience Mall, DLF Phase 3, Gurgaon",28.50264536,77.09726773,"PizzaExpress at Ambience Mall in Gurgaon offers a unique dining experience with their delicious Italian fast food, refreshing beverages, and decadent desserts. The cozy ambiance and welcoming staff make it the perfect spot to enjoy a quick meal or indulge in a leisurely dining experience. Don't miss their signature pizzas and handmade desserts that will leave you craving for more.",Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, WiFi, Full Bar Available, Serves Alcohol, Family Dining]",,Good Food and Service,PizzaExpress,9.11245E+11,1000.0,"Fast Food, Italian, Beverages, Desserts",4.8,PizzaExpress
" DLF Mall of India, Sector 18,  Noida, Noida",884.0,,0.0,https://www.zomato.com/ncr/the-big-chill-cakery-sector-18-noida,"Ground Floor, DLF Mall Of India, Sector 18, Noida",28.56788211,77.32097134,"The Big Chill Cakery is a vintage English cake shop & patisserie offering a wide variety of hand-made cakes, tarts, pies, cookies, desserts & freshly-churned gourmet ice cream. Part of the TBC family with over 20 years of serving premium quality American desserts, it combines old world charm with funky retro cool ambiance.",Casual Dining,"[Air Conditioning, Indoor Seating, Parking Available, WiFi, Takeaway Available, Credit Card Accepted]",,"Triple Chocolate Cheesecake, Irish Tiramisu, Mushroom Tart, Irish Cream Coffee, Flaky Pastry, Mississippi Mud | Pretty Decor, Behavior, More Variety, Packed on Weekends, Good Options, Favorite Place",The Big Chill Cakery,9.11206E+11,400.0,"Bakery, Desserts",4.8,The Big Chill Cakery
" M Block Market, Greater Kailash 1 (GK1), New Delhi",3731.0,4.3,348.0,https://www.zomato.com/ncr/music-mountains-hillside-cafe-greater-kailash-gk-1-new-delhi,"M-23, M Block Market, Greater Kailash (GK) 1, New Delhi",28.5497806,77.2358045,"Music & Mountains is a hillside cafe and cocktail bar offering solace deep in the heart of the city. Located in Greater Kailash, it serves a diverse menu of cafe favorites, Italian cuisine, continental dishes, and beverages in a relaxed mountain-themed ambiance.",Cafe,"[Outdoor Seating, Air Conditioning, WiFi, Full Bar Available, Live Entertainment, Parking Available, Credit Card Accepted, Pet Friendly]",,Good Food and Service,Music & Mountains - Hillside Cafe,9.17828E+11,2100.0,"Cafe, Italian, Continental, Fast Food, Salad, Beverages",4.7,Music & Mountains
" Pandara Road Market, New Delhi",6509.0,4.3,10500.0,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi,"6, Pandara Road Market, New Delhi",28.608007,77.23014,"Established in 1959, Gulati began as a modest dhaba and has transformed into an elegantly ornated fine dining restaurant known for its great North Indian, Mughlai, Hyderabadi and Tandoori cuisine. Famous for having the best butter chicken and dal makhani in Delhi, with an extensive menu of 175 exotic recipes including signature dishes like Burrah Akbari, Kakori Kebab, and Hyderabadi Dumpukht Biryanis.",Fine Dining,"[Air Conditioning, Credit Card Accepted, Parking Available, Takeaway Available, Home Delivery, Family Dining]",,"Paneer Gilafi, Neza Kebab, Shahi Veg Platter, Handi Gosht, Methi Paneer, Hyderabadi Veg Biryani | Perfect Family Restaurant, Worth Waiting, Classy Place, Efficient Service, Good for Large Groups, Comfortable Seating Area",Gulati,9.11123E+11,2500.0,"North Indian, Biryani, Hyderabadi, Mughlai, Kebab",4.7,Gulati
" Mehrauli, New Delhi",2734.0,3.2,21.0,https://www.zomato.com/ncr/olive-bar-kitchen-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi",28.52577788,77.18435403,"Olive Qutub is a hideaway where good food, laughter, culture and conversation come together in a delightful Mediterranean melting pot. Set in a Mogul mansion turned alfresco Mediterranean restaurant, it features casual elegance with beautiful white walls, vast Banyan canopy, and stunning star-lit tree-top terrace bar under the shadow of Qutub Minar. Rated as one of the world's best new restaurants by Condé Nast Traveler in 2004.",Bar/Lounge,"[Outdoor Seating, Air Conditioning, Valet Available, Parking Available, WiFi, Indoor Seating, Smoking Area, Full Bar Available]",,"Cheese Souffle, Fettucine, Scallops, Gnocchi, Sunday Brunches, Date Night | Romantic Vibe, Romantic Setting, Valet Service, Sophisticated, Perfect Setting, Romantic Place",Olive Bar & Kitchen,9.1981E+11,4000.0,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",4.7,Olive Bar & Kitchen
" Mehrauli, New Delhi",1068.0,3.9,20.0,https://www.zomato.com/ncr/the-grammar-room-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi",28.52594107,77.1843309,"The Grammar Room is a cerebral extension of Olive, designed as a cozy cafe that reinvents the vocabulary of fine dining. Located within Olive Bar & Kitchen premises in Mehrauli, it features indoor and outdoor seating with Mediterranean feel, white pebbles, palm trees, and scenic views of ridge forest. A quaint hangout space perfect for work, reading, or leisurely conversations over comfort food and specialty coffee.",Casual Dining,"[Indoor Seating, Outdoor Seating, WiFi, Work-Friendly Environment, Blankets Available]",,"Mushroom Melt, Spicy Fries, French Toast, Dessert Counter, Cookie, Mocha | Valet Service, Romantic Seating, Classy Place, Outdoor, Brunch, Cozy",The Grammar Room,9.17429E+11,1200.0,"Continental, Desserts, Beverages",4.7,The Grammar Room
" Chandni Chowk, New Delhi",1155.0,,0.0,https://www.zomato.com/ncr/chaina-ram-sindhi-confectioners-chandni-chowk-delhi,"6499, Fathepuri Chowk, Chandni Chowk, New Delhi",28.65659478,77.22325142,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service]",,"Sev Badam, Sohan Halwa, Pinni, Malai Ghewar, Poori Chole, Kaju Barfi | Sweetshop+Restaurant, Breakfast, Owner, Amazing Place, Good Taste, Best Place",Chaina Ram Sindhi Confectioners,9.11124E+11,350.0,"Mithai, Street Food",4.7,Chaina Ram Sindhi Confectioners
" The Claridges, Aurangzeb Road, New Delhi",1630.0,,0.0,https://www.zomato.com/ncr/sevilla-the-claridges-dr-apj-abdul-kalam-road,"The Claridges, 12, Dr. A.P.J. Abdul Kalam Road, Dr APJ Abdul Kalam Road, Delhi NCR",28.6003355,77.2169236,,Fine Dining,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible, Family Dining]",,"Patata Bravas, Corn Fed Chicken, Date Night, Duck, Risotto, Sangria | Romantic Getaway, Romantic Setting, Candle Light Dinner, Romantic Place, Sophisticated, Perfect Setting, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Outdoor Seating, Wheelchair Accessible, Family Dining",Sevilla - The Claridges,9.1114E+11,4500.0,"Spanish, Italian, Desserts",4.7,Sevilla
" Mehrauli, New Delhi",1194.0,3.9,46.0,https://www.zomato.com/ncr/bo-tai-1-mehrauli-new-delhi,"6/4, Kalka Das Marg, Near Qutub Minar, Mehrauli, New Delhi",28.52563884,77.18419746,"Horn Please Restro Cafe very aesthetically delights its diners with a funky theme-based decor that is full of colors. This theme-based restaurant is located in CR Park and it stands opposite to Deshbandhu Apartments. It also takes that endeavor to serve the diners with delicious North Indian, Chinese, and Mughlai cuisines. The place undoubtedly, assures you of good times, low on pocket menu and most importantly of quality food. The varied dishes that you get here give you an at home taste. To complement the tasty dishes, Horn Please Restro Cafe encompasses an equally pleasant ambiance that just completes your dining out experience. It is an ideal place to spend time with your friends and family. Read less",Fine Dining,"[Smoking Area, Air Conditioning, Valet Available, Home Delivery, Parking Available, Credit Card Accepted, Amex Accepted, Outdoor Seating, TV/Screening]",,The restaurant uses Bamboo and Copper straws as eco-friendly alternatives.,Bo Tai,9.19871E+11,2500.0,"Thai, Japanese, Asian, Beverages",4.7,Bo Tai
" Anand Vihar, New Delhi",3291.0,4.3,6149.0,https://www.zomato.com/ncr/cafe-wink-anand-vihar-new-delhi,"G-1, Plot 9, Sikka Galaxy, Shreshtha Vihar, Anand Vihar, New Delhi",28.6573105,77.3171005,,Cafe,"[Air Conditioning, WiFi, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Outdoor Seating, Quick Service]",,"Bbq Spaghetti, Bbq Lasagna, Veg Omelette, Spaghetti Arrabiata, Pasta Al Forno, Exotica Garlic Bread | Pretty Cafe, Good Food Good Quality, Peaceful Ambience, Affordable, Awesome Cafe, Cute Ambience",Cafe Wink,9.1813E+11,800.0,"Cafe, Continental, Italian",4.7,Cafe Wink
" Delhi University-GTB Nagar, New Delhi",3829.0,,0.0,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi,"2525, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",28.69486926,77.20431905,,Fast Food,"[Air Conditioning, Credit Card Accepted, Takeaway Available, Digital Wallet Accepted, Quick Service, WiFi, Full Bar Available, Serves Alcohol]",,"Baked Chicken Toscana, Spicy Mango Mojito, Classic Chicken Steak, Choco Ball, Mushroom Melt, Blueberry Pie | Variety of Pasta, Great for Birthdays, Quiet, Sit and Read, Cozy Environment, Reasonable Cost",Spezia Bistro,9.1999E+11,900.0,"Pizza, Chinese, Momos, Fast Food, Italian, Beverages, Continental",4.7,Spezia Bistro
" Geetanjali Enclave, New Delhi",782.0,,0.0,https://www.zomato.com/ncr/evoo-eatery-and-pizzeria-geetanjali-enclave-new-delhi,"B-2, Ground Floor, Shivalik, Geetanjali Pancheel Road, Near Sri Aurobindo College, Geetanjali Enclave, New Delhi",28.53327099,77.20625997,,5 Star/Luxury,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment, Parking Available, Family Dining]",,"Grilled Chicken Stuffed, Chocolate Orange, Lamb Shank, Gnocchi, Pepperoni Pizza, Tiramisu | Authentic, Themed Decor, Gastronomical Experience, Cozy, Packed on Weekends, Courteous Staff, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment, Parking Available, Family Dining",Evoo - Eatery And Pizzeria,9.18368E+11,1500.0,"Cafe, Italian, Desserts, Beverages",4.7,Evoo
" Greater Kailash 2 (GK2), New Delhi",2337.0,4.4,2669.0,https://www.zomato.com/ncr/oh-calcutta-greater-kailash-gk-2-new-delhi,"Plot 4, Local Shopping Centre, Masjid Moth, Greater Kailash 2 (GK 2), New Delhi",28.53725711,77.23862182,,5 Star/Luxury,"[Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment, Parking Available, Family Dining]",,"Good Food and Service, Air Conditioning, Credit Card Accepted, WiFi, Valet Available, Full Bar Available, Serves Alcohol, Amex Accepted, Digital Wallet Accepted, Elevator, Wheelchair Accessible, Outdoor Seating, Live Entertainment, Parking Available, Family Dining",Oh! Calcutta,9.1931E+11,1500.0,"Bengali, Desserts",4.7,Oh! Calcutta
